word,meaning
ozó,drum used for the ozó dance
ozún,skin
náma ozun,animal skin
ọngọ́ ozun,skin of human being
Ozuúndụ̀,name of the most important character in one of our tales Ọ
ọbọ́lọ̀,name of a tree
ọbọrọ́,spear-fishing in a canoe with imbíowei
ọbọ́rọ̀,fish
ọbọ́wèi,rheumatism
ọbọ́wèidiri,"herb or shrub Also identified as Diodia scandens Sw. RUBIACEAE , which is also identified as íḳ ìṇ ríṇ rìṇ or tein tuó. Can we get specimens?]"
ọbụbọọ́,back door
ọbụbọọ́,posterior gate or door
ọbụgụ́,deeper part of the fishpond or lake to which fishes resort for safety when disturbed
ọbụụ́,back
ọbụụ́,behind
ọdaá,"stagnant inlet between the mainland and a sandbank, including the clay area of the sandbank on which grass and scrub grow, with many earthworms and water weeds"
ọdọgụmaá¹,duck
amá-ọdọgụma,domestic duck
bou- ọdọ́gụ̀ma,wild duck
ọdụ́mụ,"smallest size of python , brightly coloured, very rare, lives in water, associated with riches"
ọdụ́mụ,"python resembling the puff-adder, but with a white streak down the centre of its head"
ọdụ́mụ,usually still
ọdụ́mụ,must be buried if seen dead
ọdụ́mụ,"seen on a farm, it foretells a good harvest, and can be offered chalk and ọbụbụ́"
ọdụ́mụ,"mythical form of the python , which has become very large, lives in the river, and has a diamond in its head"
ọdụ́mụ,belongs to the water deities and is believed to confer riches
ọdụ́mụdọn,"sickness attributed to python, as a result of not appeasing or caring for it (esp. the ọdụ́mụ"
ọdụ́mụdọn,"causing emaciation and coldness of the body. The traditional treatment involves appeasing the python, treating the child with ọdụ́mụ-ịgba, and rolling it on a dunghill"
ọdụ́mụ-ịgba,creeper. Noted as cure for child from ọdụ́mụ family suffering from ọdụ́mụ sickness
ọfọụ́,camp
ọfọụ́,temporary centre
ọfọụ́,"resting-place in bush, farm, around fishpond, etc"
ọfọ́ụ³,"a light, normally straight, tree used for rafters and purlins, esp. when using corrugated iron sheets on mud walls, and also for yam stakes"
ọfọ́ụ-ịpẹrẹ,juvenile ọfọ́ụ¹
ọfụ́kụ̀,clothes moth
ọfụrụ́,"bullet, bigger in size than angílị̀"
ọgbaá,triggered trap
ọgba pịtẹ́,fish with ọgbaá
ọgbọdọ́,sword
ọgbọ́gọzọ̀,"a small bowl used in measuring gari, rice, beans, etc., for sale"
ọgbọ́lọ̀,garden snail whose spiral shell is used as top
ọgbọ́lọ̀ dụnụ,remove flesh from ọgbọ́lọ̀ after boiling or roasting
ọgbọ́lọ̀ kẹkẹ,chip the wide end of ọgbọ́lọ̀ shell to prepare it for use as top
ọgbọ́lọ̀,"tan gather, look for tops"
ọgbọ́lọ̀,tein play tops
ọgbọ́lọ̀-aka,edge of ọgbọ́lọ̀
ọgbọ́lọ̀-apan,small basket for keeping tops
ọgbọ́lọ̀-ogugu,shallow hole for playing
ọgbọ́lọ̀tuu,pointed end of ọgbọ́lọ̀
ọgbọọlọọ́,ivory bangle worn by important and wealthy men and women in ancient times
ọgbọ́rụ̀,diamond in the game of cards
ọgbọyeé,sputum
ọgbụdụ́,sludge
ọgbụdụ́,thick sediment remaining after removing the good oil
ọgbụgbá,groin
ọgọ́,in-law
ọgọ́-aràụ,female in-law
ọgọ́-owèi,male in-law
ọgọ́ tèi=ọgọ́,tei have joking relationship with one’s in-laws
ọgọbịdẹ́,silk cloth ọ́gọ̀mụ́ term used to address in-law
ọgọbịdẹ́,ọ́gọ̀mụ́ bàlaka polite form of address to in-law
ọgọnọ-gbanayé,upper wrapper tied on top of the other around the waist of a woman
ọgọnọ-ghọ́-peri-ba,person whose upper teeth develop before lower ones
ọgọnọ-ofónì,bird of the air
ọgọnọ-ofónì,flying bird
ọgọnọ-paa-búrù,yam that has been exposed so that it is not good for eating
ọgọnọ-paa-búrù,top-heavy
ọgọnọsaịsáị,the peak
ọgọnọsaịsáị,extending far upwards
ọgọnọsaịsáị,pinnacle
ọgọ́tèiye,joke between in-laws
ọgụ́gọ̀ụ́,shrimp roe prepared for eating
ọgụ́n²,"“potassium”, blue/green mineral for medicine, usu. beké ọ̀gụn , used in treating yaws"
ọkọlọ́,staff
ọkọlọ́,sceptre
ọkọyeé,wages
ọkpọ́lọkị,"bird, the Common Bulbul , noted for its chattering"
ọkpọlọkpọ́lọ̀,"poetic name for a bird, the Common Bulbul"
ọkpọọ́²,“ironwood”
ọkpọọ́²,"duramen, i.e. the hard central wood of certain trees"
ọkpụrụbịyáị,third size of iron pot
ọkpụrụbịyáị,"gallon- size pot used for measuring raw “fufu”, palm- oil, ẹgbẹnẹ"
ọkpụụ́nkọ̀rọ,fermented raw cassava flour
ọkụ́,nearness
ọkụ́,neighbourhood
ọkụ́,close to
ọkụ́,at the side of
ọkụ́kụ̀,a kind of insect which enters people’s eyes
ọkụmá,ceremony performed in honour of a dead man who performed a ritual killing in his lifetime
ọkụ́otu,nearby people
ọkụ́otu,neighbours
ọlá,chief
ọlá,rich man
"ọlá fị, ọlá sụọ",enjoy a position of lordship within a group
ọlọ́kọ̀¹,trunk of elephant
ọlọ́ụ²,cough
ọmbịịyé,something to rub on
ọmbịịyé,“pomade” or body lotion
ọmọụ́n²,strong current
ọmụ́,war
ọmụ́-arụ,war-canoe
ọmụ́beni,war dress
ọmụ́-egele,"processional war dance, featuring men with guns and women clapping hands behind the men"
ọmụ́-ete,"ring around the sun on days when the weather is very fine . It is believed to be a sign of war, immediately or in the near future"
ọmụ́-owei,warrior
ọmụ́-owei,soldier
ọmụ́yaị,"bird, African Harrier Hawk, which raids nests and is regarded as lazy"
ọndụ́,weft
ọngọ́²,body
ọngọ́²,self
ọngọ́ a kịmị tịn,assert oneself
ọngọ́²,be haughty
ọngọ́ ba,be patient
ọngọ́²,endure
ọngọ́ bara,forget oneself
ọngọ́²,neglect one’s own interest
ọngọ́²,act unbecomingly or unworthily
ọngọ́ bọọ,get used to
ọngọ́²,be accustomed to
ọngọ́kubu,mass
ọngọ́sẹịdọn,"a shaking or trembling disease, e.g. of the hand"
ọngọ́sẹịdọn,generalised tremus
ọnụnụ́,"a small calabash containing certain things, with a feather on it, used by a native doctor"
ọpọ́mpọ̀tọ,frog jump
ọpọ́mpọ̀tọ desi,frog-jump
ọpọ́ụ,Mangabey monkey
ọsọkọ́,style of tying headtie with a pointed tip
ọsụ́baịfụụ,hoe handle
ọsụ́baị-ugu,hoe blade
ọsụ́ma-ẹlẹẹlẹ,"hardened charcoal, perhaps chemically produced during a long period of fanning"
ọsụ́ma-ẹlẹẹlẹ,rusty iron substance found in the soil during cultivation
ọsụ́makịmị,blacksmith
ọsụ́maowei,blacksmith
ọsụ́matọbọụ,apprentice or journeyman
ọtọ́gbọ̀rụ́,Egyptian Plover or Crocodile Bird
ọtọ́kọ̀,mud
ọtọ́kọ̀,amákọọtọkọ clay for
ọvụ́ọ̀,carved ancestral figure kept in the kíriye wàrị
ọvụ́ọ̀,"covenant, esp. between two towns"
ọvụ́ọ̀ fị,make a covenant
ọvụ́ọ̀ kọrí ̣,be affected by a vow
ọvụ́ọ̀ saị,strengthen covenant
déin ọvụọ,secret agreement
ọvụ́ọ̀kiri-owei¹,man from the place with which one’s people have a covenant
ọvụ́ọ̀kiri-owei²,smallpox
ọwọụ́,children
kála ọ̀wọụamá,small children
kála- ọ̀wọụamá-dọ̀n,convulsions
ọyanyán,horse
ọyọrọ́-òwei,"yam variety, whose tuber looks like a coiled snake"
ọzárị,condition of being indoors due to ill- health or lameness
ọzárị,state of confinement due to ill-health
ọ́zọ̀,"masquerade in procession which starts from the northern end of the main road of the town/village and ends at the southern end and beyond. Only one man wears the mask which is made of raphia leaves and tied to a framework of cane-ropes. It is the last ceremony or play performed after New Year in Kólokùmá, after which people start to go to work on their farms. It is accompanied with songs and drumming. P"
páamọbara,emission
páamọye,emission
páamọye,what is emitted
paán²,calabash cup used in drinking palmwine páapa¹ adv. anyhow
paán²,at random
páapa bara,anyhow
paán²,carelessly
páapa bịbị,useless talk
paán²,unfounded story
páapa ye,useless thing
paán²,nonsense
páaraị,fragment
páaraị,piece
páaraị,cotyledon
angba paaraí ọ ne,side of the face
angba paaráị kìṃ ị,person consisting of one side of the body only
páaraị,half- man
ẹgbẹnẹ paaráị,cotyledon of wild mango
páaraị,fraction
páaraị bọdị,fraction board
dẹ́sịmàlị paaraị,decimal fraction
ebébuu mọ paaraị mọ,mixed number
ebi paaraí ̣,proper fraction
dẹ́sịmàlị paaraị,decimal fraction
gbásị paaraịama,equivalent fractions
sei paaraí,̣improper fraction
páaye,happening
páaye,event
Páayebọọye,personal name
pám,parallelogram
patarí,a loose underwear worn by women
patarí,a miniskirt
patarí,petticoat
pegí,bat
óru pegi,small insectivorous bat
pénì,barrel
pénì,cask
péri¹,winged white termites which fly
pẹ́lẹgha-dii,liane which is forbidden to be cut
pẹ́lẹgha-dii,its wood is taken in gin as medicine van Steenis ANNONACEAE)
pẹ́lei¹,cane rat
pẹ́lei¹,cutting-grass
pẹ́lei¹,“grasscutter”
pẹ́lei²,sleeveless singlet
pẹ́lẹpaamọye,cut-out
pẹrẹ́²,riches
pẹrẹ́³,ruler
pẹrẹ́³,clan head or equivalent of a king
Pẹrẹkirí,Aboh Kingdom in Delta State of Nigeria
pẹrẹ-olíeliè,"bird, the Pin-tailed Whydah"
pínèí,leprosy
pínèídọ̀n,leprosy
pínì¹,pith of the “bamboo” of the bamboo- palm or less often the wine-palm
pínì¹,pínì kambala strands
pínì¹,strings from the pínì
pínì²,pin
písụ̀lụ,pistol
Pólakụ,"town in Gbanraịn ibé of Northern Nzọn, more fully Opóoloaku¢¢,¢¢ somewhat hidden from view from the main river"
polí-àrụ,train
pomú,"compound leaf , as of líị,̣ beribaá, okokodíà, kọ́rọ, boyá"
pomú,déri wonìmí pòmu compound leaf with net veins
pomú,igbóro-igboro pòmu compound leaf with parallel veins
pomu-aká,margin of compound leaf
pomu-akáràbiri-ungbou,midrib of compound leaf
pomubọlọ́ụ,apex of compound leaf
poó,tree used for building a long dug-out canoe for mashing palm fruits
póò,po
póò,chamber-pot
poú²,bundle
pou póu fìṇ,a tie into bundles
pọmị-aká,describes a situation when two teeth grow together like those of the pọmí f̣ ish
pọ́mpụ̀,tap
pọọ́n¹,satisfaction
pọọ́n¹,enough
pọọ́n¹,pọn laá be enough for one
pọọ́n¹,be to one’s satisfaction
pọọ́n²,voice
pọọ́n²,dialect
Kólokùmá pọ̀ọn,Kólokùmá dialect
Pọ́ọ̀t,Port Harcourt
pọtọpọ́tọ̀,pottage
pọtọpọ́tọ̀,“porridge”
pọ́tụụ,"a small lump packed compactly on one spot, e.g. a child’s faeces"
pọ́ụ,waterside
pọ́ụ,moorage
pọ́ụ tụa,fish at the waterside of the town with atálaye
pọ́ụdà,powder
pọ́ụ̀n,pound
puloú¹,oil
puloú¹,palm-oil
puloú¹,pulou tụá
puloú¹,add oil in cooking
puloú¹,try by ordeal
egbé pulou,hard oil
kụ́nụ̀ pulou,special grade of oil
ọkíọ̣̀n pulou,soft oil
ọmbị púlòu,pomade
pulou tụá²,try by ordeal
pumoún¹,fart
pumoún¹,flatulation
pumoún¹,pumoun baá fart
pumoún¹,flatulate
pumoún¹,“defile the air”
pumoún²,"very lazy, weak person"
rátà,trading in yams wholesale in heaps of fifties or one hundreds
résìo,ratio
sáa,debt
sáa fị,owe debt
sáa gbẹ,pay debt
Ọrọ ará àkị sáa kị gbẹ̀mị,They used her to pay their debt
sáa koromọ,sell on credit
sáafị-araụ,female debtor
Sáabọ̀,personal name
sáabọ,debtor
sáafị-owei,male debtor
sáagbẹ,marriage in payment of debt
sáagbẹ,compensatory system of marriage sáa +
saán,tail
saán,hind part
saán,last part
sáan,"camouflaged artificial shelter made of sticks by fishermen in the river near sandbanks. When many fish have found their way into it, the fishermen fence the area around and catch the fish with agbunú"
sáan tịẹmọ/pige,make sáan
sáayẹrịbara,credit
sáịsaị,extreme top
saịsaịbáụ,person in the land of the dead who ferries dead people from where they died to the other side of the river which is their new abode
salá²,comb
salá³,moonfish
sámị,bubble
samịnángà,"the act of choking an opponent in a fight between a strong person and a weaker one by encircling his neck with the left hand, thereby compressing his throat and blocking the windpipe. It is carried out by the weaker opponent with his/her back on the ground while the victim is above him/her with his/her head right inside the left ampit of the weaker person"
samịnángà tụa,carry out such an act
sámpụ̀lụ,small specimen of a ny new product
sámpụ̀lụ,"left-over pieces of cloth which can later be joined, hence patchwork cloth"
sanị-sanị-kilóbaụ,"beautiful, handsome person"
sánkiri,plantain farm
santuú,"used in the expression Santuú sèighá, sei seí sèighá Eternal love does not end, even when spoilt it is not completely spoilt"
santuú,"children’s song accompanying a tug-of-war without a rope, the leaders on each side pulling hands"
sán-ungu,urinary bladder sán zii see sán4
sáramọbara,speed
ẹgbẹị sáramọbara,average speed
saraụ́³,funnel
seí²,evil
seí²,mischief
sei mịẹ́,"do evil, sin"
sei timí,have a bad life
seibení¹,bad tide for fishing
seibení²,"pus from ulcer, wound or dead"
seiboú,"burial-ground for those who die accidental and untimely deaths, whose ghosts are feared"
seimọọ́³,"medicine type, antidote for epidemic or poison, kept in a pot supported by live stick seimọséimọ adv. anyhow"
seimọ́tùré,abusive name given to the ugliest person seimọ tụọ́ parboil to
seitẹmẹ́,evil spirit
seitẹmẹ́,devil
seribénì,rising water
séribeni,rising or flow tide
sérimoye,lever
sérisìnleleí,subtraction or minus sign
sérisìnyeé,subtraction
sẹ́ị²,dance
sẹ́i-arụ,dance canoe
sẹ́ịn²,? planting distances
sẹ́ị-ogbo,dancing club
sẹ́lẹ,seed
sẹ́lẹ,ovule
sẹ́lẹkokouyọ,receptacle
sẹ́mbị,padlock and key
sẹ́mbịgbasa,key
sẹntímì,centime
sídì,cedi
Gánà sidi,Ghanaian cedi
sikélì,scale
sikélì,balance
sikélì balánsì,scale balance
benibiriwárì ṣ ikeli,bathroom
sipíringì,spring
sipíringì balansị,spring balance
sísọ̀,seesaw
sitatístìks,statistics
sitétì,"state, a political community organised as a component of a federation, e.g. Bayelsa State of Nigeria"
siwísì,switch
sịkákà,mast of ship
sódà,soda
sóndiangayè,hexagon
sóndie karamọ,sixth
sóndu,wormhill
sóutolu,canal
sọ́kọsọkọ,"musical rattle made out of cane- rope, with a calabash bottom, containing pebbles"
sọmọụ́n,pity
sọmọụ́n,sympathy
sọmọụ́n,sọmọụn nimí
sọọ́n,earthworm
sọọ́n,worm
sọọ́n,sọn soú dig up worms
amá-ogbo-sọn,"very small earthworm in town soil, used in baiting a small line by children"
sọọ́n,bou sọọ́n earthworm in clay swamp soil
olúlùlú sọ̀n,"dungworm, which moves fast, is brittle,and has a red portion near the head"
pẹrẹ sọọ́n,“king worm”- blind wormsnake
érì sọọn,guineaworm
sọọ́n,threadworm
ẹfẹ́n sọ̀ọn,ringworm
fúròú bòlou sọọn,roundworm
kíri sọ̀ọn,earthworm
tépù sọọn,tapeworm
sọ́ọnrangayè,pentagon
sọrọụ́,origin
sọrọụ́,source
bụ́ụ sọrọụ,source of fishpond
dụ́nọụn sọrọụ,source of lake
sọ́pụ̀lụ,shovel
sọ́pụ̀lụ,spade
sọ́ụtọrụ,node of plant
sọ́ụtọrụ katị,cut off shoots from the node
sọ́ụtọrụ katị,nip in the bud
sọ́ụtọrụ,foil one’s plans
spidómità,speedometer
subékè,one who helps others in various ways
suboi-obó,tubular metal part of a gun
suboyé²,load
suboyé²,responsibility
suboyé³,domestic animal
súgà,sugar
sukúlù,school
sukúlùkiri,school compound
suó¹,form
suó¹,shape
sụ́ọbeni,high tide
sụ́ọfàyọọ́,loss per cent
Sụ́ọyaị,"traditional lunar month, roughly corresponding to mid-August to mid- September, the time when all channels are flooded"
sụ́ọyọ¹,lodging-place
sụụ́²,fight
sụụ́²,war
sụụ́²,conflict
sụụ́²,strife
sụụ ká bìo bẹlẹ,an aggressive person
sụụ́²,one who takes delight in making or brewing trouble
sụụ́²,be
sụụ-arụ́,war canoe
sụụbení,war-dress
sụụboú,battle-field
sụụtẹmẹ́,spirit of war
tabụ-abábùru,tapioca
táma¹,body-hair ̣
tamanaịnyé,hypothesis
Támaraụ,God
tamarin,a four-cornered wooden drum formerly used in the asuko dance )
táma-tụagha-èke,petty thief
tanaịntúo,a creeping herb
tanzarínì,tangerine
táraangayè,three-dimensional figure or shape
tára-kụraị-màa-ọwọ́ụ,normal spacing of births
tárasụn,length
plánkụ̀mọ tárasụn,three lengths of plank
tárasụn,three planks
kabọlíkà ẹsẹnmọ tárasụn,three bars of carbolic soap
tárịbaịbaraye,translation
tárịbaịye,former one
tárịbaịye,original one
tárịbaịye,before long
táụtọ̀bọụ,grandchild
tebí,vagina
téiaràụ,girlfriend
téiaràụ,lover
tein-á-sụọgha,name of a medicine which protects the owner from gunshots
tein-leléi,point
ịgbalị ghọ emí tèin-leleiama,collinear points
ịgbalị ghọ́ fà tein-lélèiama,non-collinear points
tein-owéi¹,social wasp
tein-owéi²,one who shoots
teintuó,herb
téi-owèi,boyfriend
téi-owèi,lover
téitọbọ̀ụ,child born without payment of bride-price
téitọbọ̀ụ,love-child
telefómù,telephone
telefómù,rumour-monger
telefómù,one who gossips
telefómù,tale-bearer
tépù,tape
tépù,tépù sọọn
teriiyé,shelter
terínìmíkùtu,closed shape
tẹ́ịnmọdeì,rectangular frame triggered baited floating hook
tẹ́ịnmọdeì,floating snaphook
tẹlivísọ̀nị,television
Tẹ́mẹaraụ,God
tẹ́mẹtọnmọye,model
tẹ́mẹsuo,"collective spirit of a social entity, expressed in a formal praise-title"
amátẹmẹsuo,"collective spirit of a town, expressed in its formal praise-title"
bíritẹmẹsuo,"collective spirit of a quarter, ward, expressed in its formal praise-title"
ibetẹmẹsúo,"collective spirit of an ibeé or ‘clan’, expressed in its formal praise-title"
tími³,condition
tími³,lot
tími³,standard of living
tímibara,living conditions
tímibọ,person who has some means
tími-èbií,affluence
tími-èbií,wealth
tími-èbií,prosperity
tímifàá,lack of means
tími-sèí,poverty
tími-sèí,poor standard of living
tínì,tin
tiripaá,menstruation
tiripaá,monthly period
tiró,antimony
tiró,an element commonly applied by women to their eyelashes as a cosmetic
tísà,teacher
titimétì,mallet for breaking a big piece of timber with a wedge
tobú,seaside
tobú,coast area bordering the ocean
tólu²,canal
tólu²,short cut by water
tólu bọọ,entrance to a canal
sóu tolu,artificial canal
tólumọ-aràụ,female teacher
tólumọbara,education
dọụfiyé tòlumọbara,agricultural education
duopaabará tòlumọbara,citizenship education
ete tolumọ́bàra,environmental
tólumọbịbị,lesson
tólumọbọ,teacher
tólumọdụụ,moral tale
tólumọ-owèi,male teacher
tólumọye,lesson
tólumọye,instruction
tólumọye,moral
Tómbia,a town in Ekpétiama ibe of Northern Nzọn
toriyeé,fish
torú,native chalk
torú,chalk
toru akí ̣,perform ceremony
toru ovínmọ̀,"perform ceremony before shrine of husband’s quarter , thereby withdrawing from the quarter"
toru teín,spot oneself with native chalk
toru tụá,make mark down forehead with native chalk in blessing
toru-ẹpẹ́tẹ̀,limestone
toru-gẹ-akpákpà,chalkboard
toún,back
toún,behind
toún,toun bọọ́
toún,move into chambers for consultation
toún,get behind
toun dií,look back
toun ebélì fie,lobby
toún,solicit members’ votes
toun kií/kuí,"be old, thus getting near to dying"
toún,"cut the other side of a tree after much has been chipped off from one direction, to cause it to fall easily"
toun tití/tụá,move backwards
tíḅ ị toùn,pointed centre of occiput
wárị toùn,back of house
toun furú,"take a small amount of something required in the owner’s absence, and later inform him/her"
tounbọọ́,"back door, window"
tọbọụ́,child
kíṃ ịtọbọụ,mankind
tọbọụ́,humankind
tọbọụ mọ́ dàụ mọ́,father and child
tọbọụ mọ́ yèngi mọ́,mother and child
Tọbọụ-gbalá-òu,a “masquerade” with a baby on its back that dances like a woman
tọbọụkpayé,a strip of cloth for tying baby on the back after the first tying with the tọbọụ-gbala- bíḍ ẹ̀
tọbọụkpayé,"particular type of handwoven cloth, believed to be good for the child"
Tọ́nbara¹,personal name
tọ́nbara²,estimation
tọ́nbiri,dimension
tọ́nmọbara,measure
tọ́nmọbara,measurement
tọ́nmọbara,demonstration
tọ́nmọbara ẹrẹdeiye .,demonstrative pronoun
tọ́nmọbara,taraangaye three- dimensional figure
tọ́nmọ-emìbara,description
tọ́nmọ-emìbara,tọ́nmọ- emìbara gba describe
tọ́nmọ-ikpèsemọ,props
tọ́npaamọye,literature
tọ́ntọnye,forbidden thing
tọ́nwonìmíbàra,estimate
tọ́nye¹,drawing
pínìtọnye,pin drawing
Tọ́nye²,personal name
tọ́rụ²,river
tọ́rụ²,tọ́rụ bẹịn
tọ́rụ²,cross river
tọ́rụ²,cut first tooth
tọ́rụ bọọ,miss one’s way among rivers
tọ́rụ dii,expect
tọ́rụ fini,open a river
tọ́rụ kamọụn,make offering to river
tọ́rụ nimigha,be strange to a place
tọ́rụ²,"not to know one’s way in the river, creeks or sea"
tọ́rụ paa,go out on river
tọ́rụ puu yọ̀ụ́,sail in mid-stream against the current in a river
tọ́rụ saraụ,commit piracy tọ́rụ sèí
tọ́rụ²,be unproductive for fishing
tọ́rụ²,be dangerous
tọ́rụ teri,have a close season on the river
tọ́rụ yọụ,trade
tọ́rụ-apụ̀ra,eyelid
tọ́rụbenì,water in the eyes
tọ́rụbeni,river water
tọ́rụbọọ̀,mouth of river
tọ́rụbọọ̀,estuary
tọ́rụdiye,glasses
tọ́rụdiye,spectacles
tọ́rụdumà,eyelash
tọ́rụ-ẹkẹ̀kẹ,eyebrow
tọ́rụ-ẹkẹ̀kẹ-duma,hair of eyebrow
tọ́rụ-indi,river fish
tọ́rụkubù,presence
tọ́rụ-otuo,"river toll . Whenever Kolokuma Egbesu is celebrating any of its festivals, any canoe or boat that passes by is called to shore and the head of the crew is politely asked to give a small quantity of the foodstuff he has in it. In return, the priest gives drink, a shilling, and a small quantity of native chalk to the person and blesses him and his voyage"
tọ́rụ-ọkịa,"bird, the Pied Kingfisher , noted for its hovering or ‘dancing’ over the river"
tọ́rụtòwéin,hornet
tọ́rụtọbọ̀ụ,pupil of eye
tọ́rụ-ụ̀ngbọ,eyeball
tọ́rụyọ¹,private part
tọ́rụyọ¹,the pubic region
tubékeleke,"bird , heard calling around August, said to be bailing ponds because of the resemblance of the cry to the sound of bailing"
tubékeleke,shy and skulking
tubékeleke,found near water
túbo²,price
túbo²,cost
túbo²,trade
túbo²,commerce
túbo²,túbo bọ̀ụ́ be cheap
túbo²,túbo kụ̀rọ́ be dear
túbo²,túbo tụa
túbo²,increase price
túbo²,inflate price
túbobiri,rate
túbobiri pasẹntị,rate per
túgu,crocodile
tungbó,"tail of animals, birds, and fish"
Túngbo,town in Sagbama LGA
túru,nail
Túsdebàị,Tuesday
túu¹,bottom
túu¹,base
túu¹,lower part
túu¹,tip
túu¹,stump
túu fàá,be bottomless
túu firi,be hardly sufficient
túu²,"“fathom” of cloth, usu. bịdẹ tuú"
túu-araụ,younger sister
túu-bụnụ-ere,prostitute
túugbabara,explanation
túugbabara,revelation
túugbadụụ,myth
túugbeinye,charm tied round waist
túukpaye,string to secure woman’s lower
túumọ-lei-tịnbịbịmọ,synonyms
túunimibara,understanding
túunimibara,comprehension
túu-owei,younger brother
túu-serimọ-ye,"last ceremony involving money or gifts in kind, performed in marriage, circumcision, bringing the wife home, and honouring dead parents-in-law"
túusụ̀ọmọ́,women’s pants
túuwẹnị,prostitution
túuwẹnị-ere,prostitute
tụ́amọye,temptation
tụbụ́¹,handle
ogidi tụbụ́,handle of matchet
tụ́bụrụ¹,upstream
tụ́bụrụ¹,northern part
tụ́bụrụ¹,north
tụ́bụrụ kunoun,northern end
tụ́bụrụ mọ ànga,northern side
tụ́bụrụ¹,Tụ́bụrụotu Hausas
tụ́bụrụ¹,Northerners
gési tụbụrụ,true north
Tụ́bụrụ²,a town in Bíseni ibe of Northern Nzọn
tụkpá,lamp
tụkpá,light
tụkpa-ingbí,globe for lamp
tụ́nọụn,flag
tụ́nọụn iyerimọ,lower flag
tụ́nọụn tịẹmọ,put out flags
tụ́nọụn tụa,put out flags
tụ́nọụn uwoumọ raise/hoist,flag
tụ́nọụn-bịdẹ,flag
tụ́nọụn-tịn,flagstaff
tụ́nọụn-tuu,base of flagstaff
tụ́ọ,island
tọ́rụ biri tụọ,island in the middle of the river
ubií,flying squirrel
ubú²,sacred things or spirits in the room or house. It is used in dirges
udelé,"bird, the Hooded Vulture"
u-deribọ́-yèi-díi,trap with double or triple funnel entrance
u-deribọ́-yèi-díi pìṭẹ,fish with such a trap
udisí,rubbish heap
udisí,dunghill
udisi pụrá,fill up a hole with rubbish
udisi tụá,dump rubbish in a place
udisipụ́rà¹,"female children, who marry elsewhere and thereby enlarge other people’s families"
Udisipụ́rà²,one of the revered deities at Akugbene in Western Nzọn
Udisipụ́rà²,one of the lesser deities in Kolokuma
udúbù,tomb
udúbù,grave
udúbù,"mud left after a mud house has been demolished, usu. wárị- ùdubu"
wárị-ùdubu,"also used for male children, who build on what the father has left behind"
ugbélè,walking stick
ugbélè,tall staff used by elders
ugbélè kọrị,hold a staff
ugeé,"bird, the “eagle”"
ugeé,"African Fish Eagle and Palm-Nut Vulture , both ACCIPITRIDAE"
péri ba uge,"adult “eagle” with white-tipped wing feathers, which are used to adorn the caps of those who are entitled to them through the kịlẹ́ institution"
péri bagha ùge,juvenile “eagle” without such white-tipped wing feathers
ugú²,hill
ugú²,mountain
ugubérì¹,hammer-headed shark
Ugubérì²,“masquerade” carved as a hammer-headed shark
uguú,iron
abadị ugú,money
déi ugu,hook
kụrọ-ugú,steel
ugufamụyé,mallet
ugufamụyé,hammer
ugupẹlẹyé,hacksaw
ugutoluyé,drill
ugutoluyé,punch
ukíemọye,reminder
ukíemọye,reference
ukóu¹,canoe seat
ukóu²,pair
ukóu²,twos
ukóu tịẹ,stand in twos
ukóu²,be parallel
ukóu-tịẹ-ịgbalịama,parallel
ukpókù,"fish with fat and tasty head , and small blunt-nosed mormyrids"
ukpubọụ́n,molasses
ukpuluú,kidney
ukpúrù,disease which is closely associated with vomiting
ukpúrutè,the intermediate size of mortar
ukputọrụ́,node
ukú²,spleen
ukúbiri,weight
ukúdọn,sickness affecting the spleen
ukuká,one side of jaw
ukunbilí,"fish, the goby"
ukuré-dàa-owei,man who stands at the stern of a dance-canoe to perform when it reaches a town
ukuré-tụ̀a-yọwẹị,"big paddle used as rudder for big canoes such as war-canoes, ceremonial canoes, and commercial boats"
ukuú,field for wrestling or any kind of contest
ukuú,arena
umbólo,fist
umbólo,clenched hand
umbólo gbọlụ,box
umbuú,"the pith or centre of the tree. It is usually softer and more fragile, and thus breaks, cracks or splits easily"
umérèn,very small fish
ungbósù¹,fruit of the kọ́rọ or boyá palm
ungbúlùlú²,game played with berisonléi
ungú,spherical earthenware water-pot with an everted rim
ungúru,maggot
ungúru,larva
ungurupé,locust
ungurupé,You are fond of causing bad relationships between people
upirí,floating mass of vegetable matter which obstructs navigation
upirí,sudd
uróu,fame
uróu,notoriety
uróupaa-otu-dụụ,legend
uru-ịkpọ́,an earthen pot that contains six jars of palm wine
urukúmù,shrub species
urúru ụfa,cotton thread
urusí,indolence
urusí,weakness of mind and body at a particular moment
uruú,wine
uruú,any drink except water
urúuru,sugar ant
urutụa-ówèi,wine-server
uruzuú,formal application in advance to book for a lodging
usífịlà,shooting star
usisouyé,“Indian hoe”
usisouyé,"large hoe made from imported blade with handle fixed locally, for digging up elephant grass"
usún,wine from the oil-palm
uté,plant whose stem is used for weaving
uté,kind of sleeping-mat woven from the plant
utísi,the distended lower part of a woman’s abdomen after she has been delivering children for some time
utórù,"bird, the Pink-backed Pelican"
utulú,medium-sized calabash used as floater for the osísi net
uturóowèi,python
uturóowèi,“boa-constrictor”
uyán,African Breadfruit . Its parts include
uzií²,a special ceremony performed at the funeral of a deceased hero Ụ
ụbaá,mainly natural channel which is navigable during the flood but largely dries up in dry season
