word,part_of_speech,meaning,example,meaning_original,original_meaning
páaraị,n.,ebébuu mọ paaraị mọ mixed number,,A. fragment; piece; cotyledon; angba paaraí ọ ne side of the face; angba paaráị kìṃ ị (=kíṃ ị angba paaraị) person consisting of one side of the body only; half- man (a mythical creature); ẹgbẹnẹ paaráị cotyledon of wild mango; B. (math.) fraction; páaraị bọdị fraction board; dẹ́sịmàlị paaraị decimal fraction; ebébuu mọ paaraị mọ mixed number; ebi paaraí ̣ proper fraction; dẹ́sịmàlị paaraị decimal fraction; gbásị paaraịama equivalent fractions; sei paaraí ̣improper fraction,ebébuu mọ paaraị mọ mixed number
páaraị,n.,ebi paaraí ̣ proper fraction,,A. fragment; piece; cotyledon; angba paaraí ọ ne side of the face; angba paaráị kìṃ ị (=kíṃ ị angba paaraị) person consisting of one side of the body only; half- man (a mythical creature); ẹgbẹnẹ paaráị cotyledon of wild mango; B. (math.) fraction; páaraị bọdị fraction board; dẹ́sịmàlị paaraị decimal fraction; ebébuu mọ paaraị mọ mixed number; ebi paaraí ̣ proper fraction; dẹ́sịmàlị paaraị decimal fraction; gbásị paaraịama equivalent fractions; sei paaraí ̣improper fraction,ebi paaraí ̣ proper fraction
páaraị,n.,dẹ́sịmàlị paaraị decimal fraction,,A. fragment; piece; cotyledon; angba paaraí ọ ne side of the face; angba paaráị kìṃ ị (=kíṃ ị angba paaraị) person consisting of one side of the body only; half- man (a mythical creature); ẹgbẹnẹ paaráị cotyledon of wild mango; B. (math.) fraction; páaraị bọdị fraction board; dẹ́sịmàlị paaraị decimal fraction; ebébuu mọ paaraị mọ mixed number; ebi paaraí ̣ proper fraction; dẹ́sịmàlị paaraị decimal fraction; gbásị paaraịama equivalent fractions; sei paaraí ̣improper fraction,dẹ́sịmàlị paaraị decimal fraction
páaraị,n.,gbásị paaraịama equivalent fractions,,A. fragment; piece; cotyledon; angba paaraí ọ ne side of the face; angba paaráị kìṃ ị (=kíṃ ị angba paaraị) person consisting of one side of the body only; half- man (a mythical creature); ẹgbẹnẹ paaráị cotyledon of wild mango; B. (math.) fraction; páaraị bọdị fraction board; dẹ́sịmàlị paaraị decimal fraction; ebébuu mọ paaraị mọ mixed number; ebi paaraí ̣ proper fraction; dẹ́sịmàlị paaraị decimal fraction; gbásị paaraịama equivalent fractions; sei paaraí ̣improper fraction,gbásị paaraịama equivalent fractions
páaraị,n.,sei paaraí ̣improper fraction,,A. fragment; piece; cotyledon; angba paaraí ọ ne side of the face; angba paaráị kìṃ ị (=kíṃ ị angba paaraị) person consisting of one side of the body only; half- man (a mythical creature); ẹgbẹnẹ paaráị cotyledon of wild mango; B. (math.) fraction; páaraị bọdị fraction board; dẹ́sịmàlị paaraị decimal fraction; ebébuu mọ paaraị mọ mixed number; ebi paaraí ̣ proper fraction; dẹ́sịmàlị paaraị decimal fraction; gbásị paaraịama equivalent fractions; sei paaraí ̣improper fraction,sei paaraí ̣improper fraction
páaye,n.,happening,"Páaye, bọ́ọye What happens passes away. [páa¹ + yé thing]",happening; event,happening
páaye,n.,event,"Páaye, bọ́ọye What happens passes away. [páa¹ + yé thing]",happening; event,event
Páayebọọye,n.,personal name,,personal name [What happens passes away],personal name
pám,n.,parallelogram,,(geom.) parallelogram,parallelogram
patarí,n.,a loose underwear worn by women,,"a loose underwear worn by women; a miniskirt [?]; petticoat [?<English petty, shortened form of petticoat] pátìọ̣kọ́ (probably shortened form of pá tèi yọ́ kọ̀) why should it be?",a loose underwear worn by women
patarí,n.,a miniskirt,,"a loose underwear worn by women; a miniskirt [?]; petticoat [?<English petty, shortened form of petticoat] pátìọ̣kọ́ (probably shortened form of pá tèi yọ́ kọ̀) why should it be?",a miniskirt
patarí,n.,petticoat pátìọ̣kọ́ why should it be?,,"a loose underwear worn by women; a miniskirt [?]; petticoat [?<English petty, shortened form of petticoat] pátìọ̣kọ́ (probably shortened form of pá tèi yọ́ kọ̀) why should it be?",petticoat pátìọ̣kọ́ why should it be?
pegí,n.,bat,,"bat (animal) (general term, CHIROPTERA); óru pegi small insectivorous bat (MICROCHIROPTERA)",bat
pegí,n.,óru pegi small insectivorous bat,,"bat (animal) (general term, CHIROPTERA); óru pegi small insectivorous bat (MICROCHIROPTERA)",óru pegi small insectivorous bat
pénì,n.,barrel,,barrel; cask,barrel
pénì,n.,cask,,barrel; cask,cask
péri¹,n.,winged white termites which fly,,winged white termites which fly (ISOPTERA),winged white termites which fly
pẹ́lẹgha-dii,n.,liane which is forbidden to be cut,,liane which is forbidden to be cut; its wood is taken in gin as medicine [how can it be used for medicine if it is not to be cut?] (Friesodielsia gracilis (Hook.f.) van Steenis ANNONACEAE),liane which is forbidden to be cut
pẹ́lẹgha-dii,n.,its wood is taken in gin as medicine van Steenis ANNONACEAE),,liane which is forbidden to be cut; its wood is taken in gin as medicine [how can it be used for medicine if it is not to be cut?] (Friesodielsia gracilis (Hook.f.) van Steenis ANNONACEAE),its wood is taken in gin as medicine van Steenis ANNONACEAE)
pẹ́lei¹,n.,cane rat,,cane rat; cutting-grass; “grasscutter” (Thryonymys swinderianus THRYONOMIDAE) (=ikirí) [pẹ́lẹ + yé thing],cane rat
pẹ́lei¹,n.,cutting-grass,,cane rat; cutting-grass; “grasscutter” (Thryonymys swinderianus THRYONOMIDAE) (=ikirí) [pẹ́lẹ + yé thing],cutting-grass
pẹ́lei¹,n.,“grasscutter”,,cane rat; cutting-grass; “grasscutter” (Thryonymys swinderianus THRYONOMIDAE) (=ikirí) [pẹ́lẹ + yé thing],“grasscutter”
pẹ́lei²,n.,sleeveless singlet,,sleeveless singlet [pẹ́lẹ + yé thing],sleeveless singlet
pẹ́lẹpaamọye,n.,cut-out,,(geom.) cut-out [pẹ́lẹ + páamọ bring out + yé thing],cut-out
pẹrẹ́²,n.,riches,"Pẹrẹ inéghà He is showing off his riches (lit. not enduring his riches): Pẹrẹ isé ise Riches are of many kinds: Pẹrẹ kịmí ṃ à serí ègberi naamị A rich man hears a story twice (i.e. people come to eat and ask for help in a rich man’s house, so he hears the news before it is official): Pẹrẹ kosú fà Riches has no seniority (even a young person can be rich): Pẹrẹ pọọn lagha [tone?] He is not satisfied with his wealth.",riches,riches
pẹrẹ́³,n.,ruler,"1)(cid:1)f(cid:1)(cid:1) ịí ̣enjoy lordship, as in a person who is not entitled [required?] to paddle as a result of his/her rank or ill health",ruler; clan head or equivalent of a king; pẹre (cid,ruler
pẹrẹ́³,n.,clan head or equivalent of a king,"1)(cid:1)f(cid:1)(cid:1) ịí ̣enjoy lordship, as in a person who is not entitled [required?] to paddle as a result of his/her rank or ill health",ruler; clan head or equivalent of a king; pẹre (cid,clan head or equivalent of a king
pẹrẹ́³,n.,pẹre (cid,"1)(cid:1)f(cid:1)(cid:1) ịí ̣enjoy lordship, as in a person who is not entitled [required?] to paddle as a result of his/her rank or ill health",ruler; clan head or equivalent of a king; pẹre (cid,pẹre (cid
Pẹrẹkirí,n.,Aboh Kingdom in Delta State of Nigeria,,Aboh Kingdom in Delta State of Nigeria,Aboh Kingdom in Delta State of Nigeria
pẹrẹ-olíeliè,n.,"bird, the Pin-tailed Whydah",,"bird, the Pin-tailed Whydah (Vidua macroura VIDUIDAE)","bird, the Pin-tailed Whydah"
pínèí,n.,leprosy,,leprosy [píṇ a + yé thing],leprosy
pínèídọ̀n,n.,leprosy,,leprosy [pínèí + dọọ́n],leprosy
pínì¹,n.,pith of the “bamboo” of the bamboo- palm or less often the wine-palm,,pith of the “bamboo” of the bamboo- palm (boyá) or less often the wine-palm (kọ́rọ); pínì kambala strands; strings from the pínì,pith of the “bamboo” of the bamboo- palm or less often the wine-palm
pínì¹,n.,pínì kambala strands,,pith of the “bamboo” of the bamboo- palm (boyá) or less often the wine-palm (kọ́rọ); pínì kambala strands; strings from the pínì,pínì kambala strands
pínì¹,n.,strings from the pínì,,pith of the “bamboo” of the bamboo- palm (boyá) or less often the wine-palm (kọ́rọ); pínì kambala strands; strings from the pínì,strings from the pínì
pínì²,n.,pin,,pin [<English pin],pin
písụ̀lụ,n.,pistol,,pistol [<English pistol] [dots OK?],pistol
Pólakụ,n.,"town in Gbanraịn ibé of Northern Nzọn, more fully Opóoloaku¢¢,¢¢ somewhat hidden from view from the main river",,"town in Gbanraịn ibé of Northern Nzọn, more fully Opóoloaku¢¢,¢¢ somewhat hidden from view from the main river [opóolo + akú¢¢¢¢=o¢¢¢¢kú¢¢¢¢ side]","town in Gbanraịn ibé of Northern Nzọn, more fully Opóoloaku¢¢,¢¢ somewhat hidden from view from the main river"
polí-àrụ,n.,train,,(railway) train [shortened form of igbúrugburù-polí caterpillar + árụ canoe],train
pomú,n.,"compound leaf , as of líị,̣ beribaá, okokodíà, kọ́rọ, boyá",,"compound leaf (contrast berí for simple leaf), as of líị,̣ beribaá, okokodíà, kọ́rọ, boyá; (tech.) déri wonìmí pòmu compound leaf with net veins [check]; igbóro-igboro pòmu compound leaf with parallel veins [check]","compound leaf , as of líị,̣ beribaá, okokodíà, kọ́rọ, boyá"
pomú,n.,déri wonìmí pòmu compound leaf with net veins,,"compound leaf (contrast berí for simple leaf), as of líị,̣ beribaá, okokodíà, kọ́rọ, boyá; (tech.) déri wonìmí pòmu compound leaf with net veins [check]; igbóro-igboro pòmu compound leaf with parallel veins [check]",déri wonìmí pòmu compound leaf with net veins
pomú,n.,igbóro-igboro pòmu compound leaf with parallel veins,,"compound leaf (contrast berí for simple leaf), as of líị,̣ beribaá, okokodíà, kọ́rọ, boyá; (tech.) déri wonìmí pòmu compound leaf with net veins [check]; igbóro-igboro pòmu compound leaf with parallel veins [check]",igbóro-igboro pòmu compound leaf with parallel veins
pomu-aká,n.,margin of compound leaf,,(tech.) margin of compound leaf,margin of compound leaf
pomu-akáràbiri-ungbou,n.,midrib of compound leaf,,(tech.) midrib of compound leaf,midrib of compound leaf
pomubọlọ́ụ,n.,apex of compound leaf,,(tech.) apex of compound leaf,apex of compound leaf
poó,n.,tree used for building a long dug-out canoe for mashing palm fruits,,tree used for building a long dug-out canoe for mashing palm fruits [species? identify?],tree used for building a long dug-out canoe for mashing palm fruits
póò,n.,po,,po; chamber-pot [<English po],po
póò,n.,chamber-pot,,po; chamber-pot [<English po],chamber-pot
poú²,n.,bundle,,"bundle (of sticks, cane-ropes, “bamboos”, yam stakes, “thatches”); pou póu fìṇ a tie into bundles",bundle
poú²,n.,pou póu fìṇ a tie into bundles,,"bundle (of sticks, cane-ropes, “bamboos”, yam stakes, “thatches”); pou póu fìṇ a tie into bundles",pou póu fìṇ a tie into bundles
pọmị-aká,n.,describes a situation when two teeth grow together like those of the pọmí f̣ ish,,[?] describes a situation when two teeth grow together like those of the pọmí f̣ ish,describes a situation when two teeth grow together like those of the pọmí f̣ ish
pọ́mpụ̀,n.,tap,,tap [<English pump],tap
pọọ́n¹,n.,satisfaction,Yébi ìne ghọ́ pọ̀n laadọ́ It is enough for me/I am satisfied; Pọn laa fíỵàị fị kị ebimí It is good to eat food that is enough; B. too much; pọn dụụ́ be tired of: Yébi wò ghọ́ pọ̀n dụụdọ́ He is tired of it.,A. satisfaction; enough; pọn laá be enough for one; be to one’s satisfaction,satisfaction
pọọ́n¹,n.,enough,Yébi ìne ghọ́ pọ̀n laadọ́ It is enough for me/I am satisfied; Pọn laa fíỵàị fị kị ebimí It is good to eat food that is enough; B. too much; pọn dụụ́ be tired of: Yébi wò ghọ́ pọ̀n dụụdọ́ He is tired of it.,A. satisfaction; enough; pọn laá be enough for one; be to one’s satisfaction,enough
pọọ́n¹,n.,pọn laá be enough for one,Yébi ìne ghọ́ pọ̀n laadọ́ It is enough for me/I am satisfied; Pọn laa fíỵàị fị kị ebimí It is good to eat food that is enough; B. too much; pọn dụụ́ be tired of: Yébi wò ghọ́ pọ̀n dụụdọ́ He is tired of it.,A. satisfaction; enough; pọn laá be enough for one; be to one’s satisfaction,pọn laá be enough for one
pọọ́n¹,n.,be to one’s satisfaction,Yébi ìne ghọ́ pọ̀n laadọ́ It is enough for me/I am satisfied; Pọn laa fíỵàị fị kị ebimí It is good to eat food that is enough; B. too much; pọn dụụ́ be tired of: Yébi wò ghọ́ pọ̀n dụụdọ́ He is tired of it.,A. satisfaction; enough; pọn laá be enough for one; be to one’s satisfaction,be to one’s satisfaction
pọọ́n²,n.,voice,,voice; dialect; Kólokùmá pọ̀ọn Kólokùmá dialect (of Nzọn),voice
pọọ́n²,n.,dialect,,voice; dialect; Kólokùmá pọ̀ọn Kólokùmá dialect (of Nzọn),dialect
pọọ́n²,n.,Kólokùmá pọ̀ọn Kólokùmá dialect,,voice; dialect; Kólokùmá pọ̀ọn Kólokùmá dialect (of Nzọn),Kólokùmá pọ̀ọn Kólokùmá dialect
Pọ́ọ̀t,n.,Port Harcourt,,Port Harcourt (= Patáịkọ̀tị),Port Harcourt
pọtọpọ́tọ̀,n.,pottage,,pottage; “porridge”,pottage
pọtọpọ́tọ̀,n.,“porridge”,,pottage; “porridge”,“porridge”
pọ́tụụ,n.,"a small lump packed compactly on one spot, e.g. a child’s faeces",,"a small lump packed compactly on one spot, e.g. a child’s faeces","a small lump packed compactly on one spot, e.g. a child’s faeces"
pọ́ụ,n.,waterside,Bíẹ̣n dịsẹ kịmị sèi pọụ tọ́nghà Someone who wants to defecate does not worry about a bad waterside: Eré sụọ pọụ tọngha (=Eré sụọ kiri tọngha = Eré ìgbé pọụ tọngha) A woman can marry anywhere.,waterside; moorage; pọ́ụ tụa fish at the waterside of the town with atálaye; (Sayings),waterside
pọ́ụ,n.,moorage,Bíẹ̣n dịsẹ kịmị sèi pọụ tọ́nghà Someone who wants to defecate does not worry about a bad waterside: Eré sụọ pọụ tọngha (=Eré sụọ kiri tọngha = Eré ìgbé pọụ tọngha) A woman can marry anywhere.,waterside; moorage; pọ́ụ tụa fish at the waterside of the town with atálaye; (Sayings),moorage
pọ́ụ tụa,n.,fish at the waterside of the town with atálaye,Bíẹ̣n dịsẹ kịmị sèi pọụ tọ́nghà Someone who wants to defecate does not worry about a bad waterside: Eré sụọ pọụ tọngha (=Eré sụọ kiri tọngha = Eré ìgbé pọụ tọngha) A woman can marry anywhere.,waterside; moorage; pọ́ụ tụa fish at the waterside of the town with atálaye; (Sayings),fish at the waterside of the town with atálaye
pọ́ụdà,n.,powder,,powder [<English powder],powder
pọ́ụ̀n,n.,pound,,pound (money) [<English pound],pound
puloú¹,n.,oil,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,oil
puloú¹,n.,palm-oil,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,palm-oil
puloú¹,n.,pulou tụá,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,pulou tụá
puloú¹,n.,add oil in cooking,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,add oil in cooking
puloú¹,n.,try by ordeal,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,try by ordeal
puloú¹,n.,egbé pulou hard oil,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,egbé pulou hard oil
puloú¹,n.,kụ́nụ̀ pulou special grade of oil,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,kụ́nụ̀ pulou special grade of oil
puloú¹,n.,ọkíọ̣̀n pulou soft oil,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,ọkíọ̣̀n pulou soft oil
puloú¹,n.,ọmbị púlòu pomade puloú² ordeal,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,ọmbị púlòu pomade puloú² ordeal
puloú¹,n.,pulou tụá² try by ordeal,,oil; palm-oil; pulou tụá A. add oil in cooking; B. (fig.) try by ordeal; egbé pulou hard oil; kụ́nụ̀ pulou special grade of oil; ọkíọ̣̀n pulou soft oil; ọmbị púlòu pomade puloú² ordeal; pulou tụá² try by ordeal,pulou tụá² try by ordeal
pumoún¹,n.,fart,,fart; flatulation; pumoun baá fart; flatulate; “defile the air”,fart
pumoún¹,n.,flatulation,,fart; flatulation; pumoun baá fart; flatulate; “defile the air”,flatulation
pumoún¹,n.,pumoun baá fart,,fart; flatulation; pumoun baá fart; flatulate; “defile the air”,pumoun baá fart
pumoún¹,n.,flatulate,,fart; flatulation; pumoun baá fart; flatulate; “defile the air”,flatulate
pumoún¹,n.,“defile the air”,,fart; flatulation; pumoun baá fart; flatulate; “defile the air”,“defile the air”
pumoún²,n.,"very lazy, weak person",,"very lazy, weak person","very lazy, weak person"
rátà,n.,trading in yams wholesale in heaps of fifties or one hundreds,,trading in yams wholesale in heaps of fifties or one hundreds,trading in yams wholesale in heaps of fifties or one hundreds
résìo,n.,ratio,,(math.) ratio [<English ratio],ratio
sáa,n.,debt,"Sayings: Gbẹ́ sa, fa saá A debt that is paid is finished; Oru saa bíikìṃ ị, bii tịbị póumi Someone who asks for an old debt reminds people of what he owes them; Sáa bụ̀rụghá, gbẹ́ da lụ̀amọ́ tìmi Debt does not rot away, pay and be at rest; Sáa mọ saa mọ bọ̀ọyaí ̣One debt cancels another.","debt; sáa fị owe debt; sáa gbẹ pay debt; Ọrọ ará àkị sáa kị gbẹ̀mị They used her to pay their debt (i.e. they married her into a family as compensation for an injury, etc., to one of their members); sáa koromọ sell on credit",debt
sáa fị,n.,owe debt,"Sayings: Gbẹ́ sa, fa saá A debt that is paid is finished; Oru saa bíikìṃ ị, bii tịbị póumi Someone who asks for an old debt reminds people of what he owes them; Sáa bụ̀rụghá, gbẹ́ da lụ̀amọ́ tìmi Debt does not rot away, pay and be at rest; Sáa mọ saa mọ bọ̀ọyaí ̣One debt cancels another.","debt; sáa fị owe debt; sáa gbẹ pay debt; Ọrọ ará àkị sáa kị gbẹ̀mị They used her to pay their debt (i.e. they married her into a family as compensation for an injury, etc., to one of their members); sáa koromọ sell on credit",owe debt
sáa gbẹ,n.,pay debt,"Sayings: Gbẹ́ sa, fa saá A debt that is paid is finished; Oru saa bíikìṃ ị, bii tịbị póumi Someone who asks for an old debt reminds people of what he owes them; Sáa bụ̀rụghá, gbẹ́ da lụ̀amọ́ tìmi Debt does not rot away, pay and be at rest; Sáa mọ saa mọ bọ̀ọyaí ̣One debt cancels another.","debt; sáa fị owe debt; sáa gbẹ pay debt; Ọrọ ará àkị sáa kị gbẹ̀mị They used her to pay their debt (i.e. they married her into a family as compensation for an injury, etc., to one of their members); sáa koromọ sell on credit",pay debt
sáa,n.,Ọrọ ará àkị sáa kị gbẹ̀mị They used her to pay their debt,"Sayings: Gbẹ́ sa, fa saá A debt that is paid is finished; Oru saa bíikìṃ ị, bii tịbị póumi Someone who asks for an old debt reminds people of what he owes them; Sáa bụ̀rụghá, gbẹ́ da lụ̀amọ́ tìmi Debt does not rot away, pay and be at rest; Sáa mọ saa mọ bọ̀ọyaí ̣One debt cancels another.","debt; sáa fị owe debt; sáa gbẹ pay debt; Ọrọ ará àkị sáa kị gbẹ̀mị They used her to pay their debt (i.e. they married her into a family as compensation for an injury, etc., to one of their members); sáa koromọ sell on credit",Ọrọ ará àkị sáa kị gbẹ̀mị They used her to pay their debt
sáa koromọ,n.,sell on credit,"Sayings: Gbẹ́ sa, fa saá A debt that is paid is finished; Oru saa bíikìṃ ị, bii tịbị póumi Someone who asks for an old debt reminds people of what he owes them; Sáa bụ̀rụghá, gbẹ́ da lụ̀amọ́ tìmi Debt does not rot away, pay and be at rest; Sáa mọ saa mọ bọ̀ọyaí ̣One debt cancels another.","debt; sáa fị owe debt; sáa gbẹ pay debt; Ọrọ ará àkị sáa kị gbẹ̀mị They used her to pay their debt (i.e. they married her into a family as compensation for an injury, etc., to one of their members); sáa koromọ sell on credit",sell on credit
sáafị-araụ,n.,female debtor,,f. female debtor [sáa + fị owe + araụ female],female debtor
Sáabọ̀,n.,personal name,,m.f. personal name [sáa+ bọ person],personal name
sáabọ,n.,debtor,,m.f. debtor [sáa+ bọ person],debtor
sáafị-owei,n.,male debtor,,male debtor [sáa+ fị owe + owei male],male debtor
sáagbẹ,n.,marriage in payment of debt,,marriage in payment of debt; compensatory system of marriage sáa + [ gbẹ pay ],marriage in payment of debt
sáagbẹ,n.,compensatory system of marriage sáa +,,marriage in payment of debt; compensatory system of marriage sáa + [ gbẹ pay ],compensatory system of marriage sáa +
saán,n.,tail,dụ́nọụn san last part of a lake; san ịpálịpà last section of a fish including the tail; san kpụụ́n tease; pester; worry; irritate (lit. ‘pull one’s tail’),tail; hind part; (fig.) last part,tail
saán,n.,hind part,dụ́nọụn san last part of a lake; san ịpálịpà last section of a fish including the tail; san kpụụ́n tease; pester; worry; irritate (lit. ‘pull one’s tail’),tail; hind part; (fig.) last part,hind part
saán,n.,last part,dụ́nọụn san last part of a lake; san ịpálịpà last section of a fish including the tail; san kpụụ́n tease; pester; worry; irritate (lit. ‘pull one’s tail’),tail; hind part; (fig.) last part,last part
sáan,n.,"camouflaged artificial shelter made of sticks by fishermen in the river near sandbanks. When many fish have found their way into it, the fishermen fence the area around and catch the fish with agbunú",,"camouflaged artificial shelter made of sticks by fishermen in the river near sandbanks. When many fish have found their way into it, the fishermen fence the area around and catch the fish with agbunú; sáan imbi to fish in sáan; sáan tịẹmọ/pige make sáan","camouflaged artificial shelter made of sticks by fishermen in the river near sandbanks. When many fish have found their way into it, the fishermen fence the area around and catch the fish with agbunú"
sáan,n.,imbi to fish in sáan,,"camouflaged artificial shelter made of sticks by fishermen in the river near sandbanks. When many fish have found their way into it, the fishermen fence the area around and catch the fish with agbunú; sáan imbi to fish in sáan; sáan tịẹmọ/pige make sáan",imbi to fish in sáan
sáan tịẹmọ/pige,n.,make sáan,,"camouflaged artificial shelter made of sticks by fishermen in the river near sandbanks. When many fish have found their way into it, the fishermen fence the area around and catch the fish with agbunú; sáan imbi to fish in sáan; sáan tịẹmọ/pige make sáan",make sáan
sáayẹrịbara,n.,credit,,(tech.) credit [ sáa + yẹrí ̣sell+ bára way ],credit
sáịsaị,n.,"extreme top , usu. ọgọnọ",,"extreme top (of tree), usu. ọgọnọ","extreme top , usu. ọgọnọ"
saịsaịbáụ,n.,person in the land of the dead who ferries dead people from where they died to the other side of the river which is their new abode,,person in the land of the dead who ferries dead people from where they died to the other side of the river which is their new abode [saí¹̣ + saí¹̣ + -baụ́ girl],person in the land of the dead who ferries dead people from where they died to the other side of the river which is their new abode
salá²,n.,comb,,comb,comb
salá³,n.,moonfish,,moonfish (Citharinus latus CITHARINIDAE),moonfish
sámị,n.,bubble,,bubble,bubble
samịnángà,n.,"the act of choking an opponent in a fight between a strong person and a weaker one by encircling his neck with the left hand, thereby compressing his throat and blocking the windpipe. It is carried out by the weaker opponent with his/her back on the ground while the victim is above him/her with his/her head right inside the left ampit of the weaker person",,"the act of choking an opponent in a fight between a strong person and a weaker one by encircling his neck with the left hand, thereby compressing his throat and blocking the windpipe. It is carried out by the weaker opponent with his/her back on the ground while the victim is above him/her with his/her head right inside the left ampit of the weaker person; samịnángà tụa carry out such an act","the act of choking an opponent in a fight between a strong person and a weaker one by encircling his neck with the left hand, thereby compressing his throat and blocking the windpipe. It is carried out by the weaker opponent with his/her back on the ground while the victim is above him/her with his/her head right inside the left ampit of the weaker person"
samịnángà tụa,n.,carry out such an act,,"the act of choking an opponent in a fight between a strong person and a weaker one by encircling his neck with the left hand, thereby compressing his throat and blocking the windpipe. It is carried out by the weaker opponent with his/her back on the ground while the victim is above him/her with his/her head right inside the left ampit of the weaker person; samịnángà tụa carry out such an act",carry out such an act
sámpụ̀lụ,n.,small specimen of a ny new product,,"A. small specimen of a ny new product; B. left-over pieces of cloth which can later be joined, hence patchwork cloth [<English sample]",small specimen of a ny new product
sámpụ̀lụ,n.,"left-over pieces of cloth which can later be joined, hence patchwork cloth",,"A. small specimen of a ny new product; B. left-over pieces of cloth which can later be joined, hence patchwork cloth [<English sample]","left-over pieces of cloth which can later be joined, hence patchwork cloth"
sanị-sanị-kilóbaụ,n.,"beautiful, handsome person",,"beautiful, handsome person","beautiful, handsome person"
sánkiri,n.,plantain farm,,plantain farm (=gbákirì = gbágbakìri) [sán³+kíri],plantain farm
santuú,n.,"used in the expression Santuú sèighá, sei seí sèighá Eternal love does not end, even when spoilt it is not completely spoilt",,"A. used in the expression Santuú sèighá, sei seí sèighá Eternal love does not end, even when spoilt it is not completely spoilt (used as comment on a couple); B. children’s song accompanying a tug-of-war without a rope, the leaders on each side pulling hands [saán+ túu end]","used in the expression Santuú sèighá, sei seí sèighá Eternal love does not end, even when spoilt it is not completely spoilt"
santuú,n.,"children’s song accompanying a tug-of-war without a rope, the leaders on each side pulling hands",,"A. used in the expression Santuú sèighá, sei seí sèighá Eternal love does not end, even when spoilt it is not completely spoilt (used as comment on a couple); B. children’s song accompanying a tug-of-war without a rope, the leaders on each side pulling hands [saán+ túu end]","children’s song accompanying a tug-of-war without a rope, the leaders on each side pulling hands"
sán-ungu,n.,urinary bladder sán zii see sán4,,urinary bladder [sán²+ ungú water-pot] sán zii see sán4,urinary bladder sán zii see sán4
sáramọbara,n.,speed,,(tech.) speed; ẹgbẹị sáramọbara average speed sáramọ + bára [ way ],speed
sáramọbara,n.,ẹgbẹị sáramọbara average speed sáramọ + bára,,(tech.) speed; ẹgbẹị sáramọbara average speed sáramọ + bára [ way ],ẹgbẹị sáramọbara average speed sáramọ + bára
saraụ́³,n.,funnel,,funnel,funnel
seí²,n.,evil,"Sei kí tọn “medicine after death”, i.e. advice too late; Sei mọ́ èbi mọ́ kẹnị tuu ki wẹ̀nịyémi Evil and good move together; Seibọ́ sèi sụọ́, yé èbi kí ìneí, tímibọ fàbọ píṛìg̣ha Trouble is for oneself; if you have good it’s for me; the one who has doesn’t give to the one who hasn’t (three different sayings, sometimes said one after the other, all referring to a selfish attitude); B. (fig.) faeces; excreta","A. evil; mischief; sei mịẹ́ do evil, sin; sei timí have a bad life",evil
